time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,eval/mean_reward,eval/mean_ep_length
98,1000,98304,48,1551.6349206349207,706.004638671875,0.73805994,0.2,-1.349106864258647,0.00025,-0.0029713105875998737,339.43404054641724,0.005955399,66.94623565673828,0.0029296875,470,,
,,100000,,,,0.46442956,0.2,-1.3570591241121293,0.00025,-0.0012875046086264774,141.7691265463829,0.0042500813,36.997676849365234,0.003564453125,480,811.5311279296875,2236.7
104,959,100352,49,1542.40625,705.1934814453125,,,,,,,,,,,,
106,964,102400,50,1546.8484848484848,718.7802734375,0.8882967,0.2,-1.3473279282450676,0.00025,-0.010616468319494744,101.8776420712471,0.010113775,64.2465591430664,0.12470703125,490,,
107,969,104448,51,1528.9402985074628,715.8078002929688,0.7005855,0.2,-1.3597886394709349,0.00025,-0.004253881717158947,441.79703612327575,0.00847631,176.77415466308594,0.009521484375,500,,
109,973,106496,52,1550.5735294117646,707.345703125,-0.46141708,0.2,-1.3723842151463033,0.00025,-0.0024680348535184747,179.54860891699792,0.007771814,12.68704605102539,0.00654296875,510,,
111,977,108544,53,1571.5797101449275,724.2576904296875,0.7595204,0.2,-1.3574154317378997,0.00025,-0.003014434796932619,53.65545282363892,0.0043109437,20.43826675415039,0.00908203125,520,,
112,981,110592,54,1557.0422535211267,735.8021240234375,0.6784271,0.2,-1.3408181417733431,0.00025,-0.00573054436390521,229.39852073192597,0.008759908,46.292152404785156,0.0345703125,530,,
114,985,112640,55,1513.1351351351352,733.6177978515625,0.7166468,0.2,-1.359497905895114,0.00025,-0.000580423635256011,414.2003636837006,0.000971711,106.36258697509766,0.0,540,,
115,989,114688,56,1513.1351351351352,733.6177978515625,0.66488683,0.2,-1.354822450503707,0.00025,-0.0010687041940400377,536.2991528034211,0.001470291,130.3010711669922,0.0,550,,
117,993,116736,57,1529.3947368421052,737.322509765625,-3.27886,0.2,-1.3550847124308347,0.00025,-0.008843996527139098,14.112004873156547,0.014558686,2.6086816787719727,0.14873046875,560,,
119,996,118784,58,1516.5974025974026,738.7556762695312,0.75134516,0.2,-1.3485864005982875,0.00025,-0.005379525772877969,428.7148503780365,0.006838661,134.29827880859375,0.0166015625,570,,
120,1000,120832,59,1535.6153846153845,730.2024536132812,-0.034470916,0.2,-1.3577313095331192,0.00025,-0.0019004384463187306,109.21563541293145,0.008673467,22.67684555053711,0.022412109375,580,,
