time/iterations,time/time_elapsed,train/entropy_loss,train/explained_variance,train/n_updates,time/fps,train/policy_loss,time/total_timesteps,train/value_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
10100,51,-1.2899878025054932,-58.32782,10099,978,-1.4144566059112549,50500,1.2629541158676147,0.00025,1481.5588235294117,595.977294921875,,
10200,52,-1.3456393480300903,0.66675866,10199,979,-0.021936291828751564,51000,0.001418976578861475,0.00025,1481.5588235294117,595.977294921875,,
10300,52,-1.3076149225234985,0.20130605,10299,980,18.946033477783203,51500,295.972900390625,0.00025,1481.5588235294117,595.977294921875,,
10400,52,-1.304936170578003,0.40562934,10399,981,0.14312201738357544,52000,0.015942241996526718,0.00025,1479.4571428571428,612.6591796875,,
10500,53,-1.328273057937622,0.70304453,10499,982,0.09145195782184601,52500,0.009389510378241539,0.00025,1479.4571428571428,612.6591796875,,
10600,53,-1.3089390993118286,0.89731354,10599,983,-0.0960400253534317,53000,0.005358657333999872,0.00025,1479.4571428571428,612.6591796875,,
10700,54,-1.3077622652053833,0.32007182,10699,984,-0.24417972564697266,53500,0.039049454033374786,0.00025,1475.0277777777778,608.8898315429688,,
10800,54,-1.329207420349121,-13.136152,10799,985,-0.6704727411270142,54000,0.5537973642349243,0.00025,1475.0277777777778,608.8898315429688,,
10900,55,-1.342927098274231,0.685752,10899,987,0.03517070785164833,54500,0.0026115444488823414,0.00025,1475.0277777777778,608.8898315429688,,
11000,55,-1.3577443361282349,-0.11200559,10999,988,-0.5174349546432495,55000,0.1731235384941101,0.00025,1444.1052631578948,625.53173828125,,
11100,56,-1.3282852172851562,0.32188976,11099,989,10.929258346557617,55500,65.153564453125,0.00025,1444.1052631578948,625.53173828125,,
11200,56,-1.3365371227264404,0.4322003,11199,990,16.38945960998535,56000,176.40328979492188,0.00025,1444.1052631578948,625.53173828125,,
11300,56,-1.3096046447753906,0.9671519,11299,991,-0.08865407109260559,56500,0.005540084093809128,0.00025,1445.051282051282,637.112060546875,,
11400,57,-1.2624940872192383,0.31823152,11399,992,15.5482816696167,57000,160.93017578125,0.00025,1417.25,621.151123046875,,
11500,57,-1.224611520767212,0.8355299,11499,994,1.2860381603240967,57500,1.9291141033172607,0.00025,1397.6341463414635,614.0261840820312,,
11600,58,-1.2618188858032227,0.5727694,11599,995,0.4698358476161957,58000,0.23031024634838104,0.00025,1315.4545454545455,576.3937377929688,,
11700,58,-1.2088696956634521,-121.31777,11699,996,28.047088623046875,58500,964.84521484375,0.00025,1291.1555555555556,563.4791870117188,,
11800,59,-1.1532695293426514,0.8555192,11799,997,-0.581635594367981,59000,0.18324609100818634,0.00025,1203.734693877551,534.2095947265625,,
11900,59,-1.265533685684204,0.99774104,11899,997,-0.02512679062783718,59500,0.0009322062251158059,0.00025,1187.14,523.5202026367188,,
12000,60,-1.1488696336746216,0.9975009,11999,998,-0.05206666514277458,60000,0.0016256667440757155,0.00025,1110.351851851852,488.865478515625,,
12100,60,-1.24033522605896,0.98190916,12099,999,-0.012699415907263756,60500,0.006520346738398075,0.00025,1059.877192982456,464.18243408203125,,
12200,60,-1.271512746810913,0.6757113,12199,1000,6.583414554595947,61000,36.92200469970703,0.00025,1049.6896551724137,467.7422180175781,,
12300,61,-1.2868677377700806,0.763787,12299,1001,-3.905635118484497,61500,9.840968132019043,0.00025,1041.2542372881355,476.9137878417969,,
12400,61,-1.3382136821746826,0.48043722,12399,1001,14.312894821166992,62000,157.6256561279297,0.00025,998.3709677419355,459.5492248535156,,
12500,62,-1.3198206424713135,0.78407806,12499,1002,-0.7197161316871643,62500,0.3837372660636902,0.00025,960.0,439.6245422363281,,
12600,62,-1.3446969985961914,0.98716104,12599,1002,-0.15061312913894653,63000,0.011075838468968868,0.00025,940.1492537313433,428.2232666015625,,
12700,63,-1.3157553672790527,0.9301918,12699,1003,0.2047438621520996,63500,0.03223501890897751,0.00025,929.5882352941177,421.83587646484375,,
12800,63,-1.3323290348052979,-108.92849,12799,1004,-2.8783249855041504,64000,31.598684310913086,0.00025,926.1304347826087,422.5621032714844,,
12900,64,-1.3219436407089233,0.21948987,12899,1005,15.824377059936523,64500,219.88827514648438,0.00025,907.6338028169014,411.3428649902344,,
13000,64,-1.3505995273590088,0.5406107,12999,1006,14.649113655090332,65000,121.73785400390625,0.00025,896.4305555555555,406.3572692871094,,
13100,65,-1.3498910665512085,0.7334063,13099,1007,9.613977432250977,65500,85.65556335449219,0.00025,895.9041095890411,417.8650207519531,,
13200,65,-1.3517473936080933,0.9316038,13199,1007,0.21378536522388458,66000,0.03170781582593918,0.00025,895.9041095890411,417.8650207519531,,
13300,65,-1.3602603673934937,-37.592438,13299,1008,-7.205909729003906,66500,32.72283935546875,0.00025,895.9041095890411,417.8650207519531,,
13400,66,-1.3409764766693115,0.94627905,13399,1008,-0.12433495372533798,67000,0.014825299382209778,0.00025,895.9041095890411,417.8650207519531,,
13500,66,-1.356244444847107,-553.84247,13499,1009,-4.452396392822266,67500,31.681468963623047,0.00025,895.9041095890411,417.8650207519531,,
13600,67,-1.341464638710022,-0.5084748,13599,1010,0.2121259719133377,68000,0.046327393501996994,0.00025,895.9041095890411,417.8650207519531,,
13700,67,-1.3489091396331787,0.7091474,13699,1011,-0.04455797001719475,68500,0.009973541833460331,0.00025,920.3243243243244,421.7842712402344,,
13800,68,-1.3548818826675415,0.7692703,13799,1011,-0.06633120030164719,69000,0.005056190770119429,0.00025,920.3243243243244,421.7842712402344,,
13900,68,-1.3352031707763672,0.61957616,13899,1012,-0.1383637934923172,69500,0.011837505735456944,0.00025,920.3243243243244,421.7842712402344,,
14000,69,-1.346279263496399,-0.61999357,13999,1013,-0.09581096470355988,70000,0.012199889868497849,0.00025,920.3243243243244,421.7842712402344,,
14100,69,-1.3499739170074463,-1.2148521,14099,1013,0.08387050032615662,70500,0.007058579474687576,0.00025,920.3243243243244,421.7842712402344,,
